filing_uuid,general_issue_code
cdd3b90d-3a59-448d-adeb-0f698bb677ed,AER
5f4e0de1-5d50-4a3a-8358-c109e87668bd,INS
88c74367-2359-4963-ba21-28135ca7ece4,RES
1167b0ed-45cf-46f4-af19-28a40d2829f7,BAN
cf4f6ed0-60ae-4b38-a35d-c75bce4104d6,CPI
6ec13918-8f39-4b53-943a-a1c6dc6e1eba,TRA
a3f68308-1a32-4ded-be80-d3ea12ff9960,MED
92c836b0-e653-4dd6-ad60-204a7ae76890,NAT
27ce9602-98aa-4e07-88cc-7e08660a6140,BUD
6eea3af3-bd7a-49db-a138-1a4f7715627d,CPI
962403ab-929d-438f-8fa0-ce6901a9cf34,NAT
9bc24201-2f7c-442d-b7e7-5df040540139,ENV
0d1ee6cb-00c4-4c57-8817-7be3e0c6917a,BUD
015a65d0-2eb4-4d3a-aa2b-22cf9bf1df2e,CSP
e392c83f-c706-41b3-b1c5-482ef728922a,DIS
fe4c5012-98f9-4dfa-b111-b948f7f90eab,MMM
eb5e4e92-01ec-42c4-bdcb-1b3720a6d963,GOV
3a7af2b1-bbca-4997-8993-48c972451ed5,FOR
67af8e26-0785-4c79-a364-6294e07bc7b0,ENV
2bd18356-7d11-4691-8054-90d5cf684d27,ENG
4b1b8ecc-ca54-48ac-b152-3cdf176f073b,SCI
d2ddc4d0-8dc8-430d-bc31-1c55cf4ea856,EDU
9d422bda-4944-4c18-8ca9-cb3cbece94a3,PHA
d376289e-9da5-465b-9796-11f8969fa7a5,TAX
ddd85ad2-02fa-4736-870d-0c0d48aeefb4,HOM
e99965e3-d6e3-495e-9823-d27ea8e1bc10,TAX
df25c3f7-b5a0-4d99-92eb-3c32078749af,ROD
5cc5a12d-9d02-4c9d-9d23-6d7c5862e1cf,HCR
07e85047-abbc-4f55-8377-38c39c4fbfcd,CPT
11b8b8d2-f5f6-4509-90ce-c54c247d5795,DEF
a3f0602e-6545-4921-a5ad-43d8805bd393,TAX
bc42946b-08b4-4590-a2c3-dc7393502d5d,TRA
16d7a8ba-fb2a-49e7-b3ad-c95dab555948,GOV
ee2e7df0-a641-4930-bb64-9414f0eaa3c6,CPT
20094bfb-9215-499c-aa9f-0e24033210de,DEF
5fbd244d-8536-4a39-bba8-7a1932fc70a7,HCR
333c888e-f2b2-41ab-bcf0-732e9727e6c4,ACC
731521d9-187d-4e28-94b8-354a95d31029,BUD
4272575a-ee5b-4021-aa64-bd70455e2dbb,BAN
1450d347-bf8f-4a4a-baa7-78c0a665500e,BUD
3a51fb1d-6c2a-4bbc-92e0-2472d7f1a6fe,RET
2f359fa4-f8c0-4d3c-aec2-80499fe0b2bd,INS
a7ec0091-147d-45e6-b78b-dca1d1fed842,HCR
608ebea1-d6d3-4371-82dd-4592ed5e4b6b,AVI
debcb6fc-1f2b-4e3d-a93e-25026c8d77bb,MMM
0f3939c8-fcf7-4ec2-9764-723ce8518a37,DEF
91269316-c70d-4fd8-849c-59be991526be,BNK
81346252-0ceb-4607-b386-b524e3a04ded,BUD
6ebc58bb-77e2-4c59-846c-485475b027b4,FIN
81ffbcac-9f1e-42fb-b764-7ea0d543f878,GOV
2c936344-653c-4539-a03b-e252551dd756,TRD
f540cf1e-df0a-4427-abb4-e6ed83d00153,DEF
9ec61e23-d183-4357-b8c4-a0dfbab68eb2,POS
129c2b5c-9b46-4616-af46-495672102532,BUD
806063e3-a44b-4ea9-9e76-013097065f6f,EDU
ff5d814b-0c2e-471d-a0b6-7bced4bc1bc4,TAX
